job_title,company,location,skill_required,source,url,posted_days_ago,is_remote_friendly,remote_policy,salary_min,salary_max,fetch_date
Director of Revenue Systems and AI Automation (Offshore) ,Caul Group,Remote,R,Remotive,https://remotive.com/remote-jobs/artificial-intelligence/director-of-revenue-systems-and-ai-automation-offshore-2090878,18,1,Remote,$60k–$72k,,2026-05-13
Senior DevOps Engineer,Lemon.io,Remote,"Python, SQL, Machine Learning, AWS, Azure, GCP",Remotive,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002,27,1,Remote,,,2026-05-13
Head of Engineering,Lemon.io,Remote,R,Remotive,https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995,27,1,Remote,,,2026-05-13
Mid/Senior AI Video Artist,EverAI,Remote,"AWS, Excel, R",Remotive,https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994,15,1,Remote,-,,2026-05-13
AI Engineer,Dry Ground AI,Remote,"Python, Machine Learning, TensorFlow, PyTorch, Spark, R",Remotive,https://remotive.com/remote-jobs/artificial-intelligence/ai-engineer-2089958,24,1,Remote,$40- $60k,,2026-05-13
Senior Independent AI Engineer / Architect,A.Team,Remote,R,Remotive,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,16,1,Remote,$120 - $170 /hour,,2026-05-13
Tech Lead Full-Stack Rails Engineer,Mitre Media,Remote,"SQL, Docker, Kubernetes, Excel, R, Java",Remotive,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,23,1,Remote,$170k - $200k,,2026-05-13
Online Data Analyst United States,TELUS Digital,Remote,"Machine Learning, R",Remotive,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-2088710,14,1,Remote,,,2026-05-13
